"x, y, yaw, value"
8.178631,-1.570796,0.0,0.5000001218202128
8.178631,-1.48353,0.0,0.4999999992745562
8.178631,-1.396263,0.0,0.5000003087204845
8.178631,-1.308997,0.0,0.5000000133804217
8.178631,-1.22173,0.0,0.500004181470638
8.178631,-1.134464,0.0,0.5000006697659191
8.178631,-1.047198,0.0,0.5000015388324563
8.178631,-0.9599311,0.0,0.500000004686514
8.178631,-0.8726646,0.0,0.5000000017409195
8.178631,-0.7853982,0.0,0.5
8.178631,-0.6981317,0.0,0.49999999931890377
8.178631,-0.6108652,0.0,0.5000002384077938
8.178631,-0.5235987,0.0,0.5
8.178631,-0.4363323,0.0,0.5
8.178631,-0.3490659,0.0,0.5
8.178631,-0.2617994,0.0,0.5
8.178631,-0.174533,0.0,0.5
8.178631,-0.08726652,0.0,0.5
8.178631,4.371139e-08,0.0,0.5
8.178631,0.08726648,0.0,0.5
8.178631,0.1745329,0.0,0.5
8.178631,0.2617994,0.0,0.5
8.178631,0.3490658,0.0,0.5
8.178631,0.4363324,0.0,0.5
8.178631,0.5235988,0.0,0.5
8.178631,0.6108653,0.0,0.5
8.178631,0.6981317,0.0,0.5
8.178631,0.7853982,0.0,0.5
8.178631,0.8726646,0.0,0.5000000001235653
8.178631,0.9599311,0.0,0.5000002810325693
8.178631,1.047197,0.0,0.500005261706585
8.178631,1.134464,0.0,0.5000187689164247
8.178631,1.22173,0.0,0.5000000006946216
8.178631,1.308997,0.0,0.500000001699472
8.178631,1.396263,0.0,0.5000000009390184
8.178631,1.48353,0.0,0.5000000023413567
8.178631,1.570796,0.0,0.5000000402622901
8.178631,1.658063,0.0,0.499999890169853
8.178631,1.745329,0.0,0.5000000016690525
8.178631,1.832596,0.0,0.5000000269443365
8.178631,1.919862,0.0,0.5000074548670087
8.178631,2.007129,0.0,0.4999997659863194
8.178631,2.094395,0.0,0.5001924431130778
8.178631,2.181662,0.0,0.5000087105208318
8.178631,2.268928,0.0,0.5044597448664959
8.178631,2.356194,0.0,0.5000242896890033
8.178631,2.443461,0.0,0.5000021338210315
8.178631,2.530728,0.0,0.5000101311735188
8.178631,2.617994,0.0,0.5000022035880443
8.178631,2.705261,0.0,0.500138245241037
8.178631,2.792527,0.0,0.5000019493232539
8.178631,2.879793,0.0,0.5000020274449911
8.178631,2.96706,0.0,0.5000045551693023
8.178631,3.054326,0.0,0.5002663762141925
8.178631,-3.141593,0.0,0.5000003957086584
8.178631,-3.054326,0.0,0.5000743277630536
8.178631,-2.96706,0.0,0.5081823170185089
8.178631,-2.879793,0.0,0.5000109219433162
8.178631,-2.792527,0.0,0.50356379392669
8.178631,-2.705261,0.0,0.5000111121136498
8.178631,-2.617994,0.0,0.5000143390060905
8.178631,-2.530728,0.0,0.5000222226548197
8.178631,-2.443461,0.0,0.5014739985842591
8.178631,-2.356195,0.0,0.5000909547002832
8.178631,-2.268928,0.0,0.5074357910205842
8.178631,-2.181662,0.0,0.507548950612545
8.178631,-2.094395,0.0,0.5000023099114176
8.178631,-2.007129,0.0,0.5014842052873942
8.178631,-1.919862,0.0,0.5000002995362303
8.178631,-1.832596,0.0,0.5000888262400378
8.178631,-1.745329,0.0,0.5000000030137429
8.178631,-1.658063,0.0,0.4999999938038816
7.934261,-1.570796,0.0,0.4999890243880134
7.934261,-1.48353,0.0,0.5000000371645978
