Time (s),Tag,x_velocity,y_velocity,yaw_velocity
0.0011997222900390625,MPC,-0.0317328,-0.0188198,-0.416097
10.362940073013306,MPC,-0.062061,-0.0357848,-0.293705
10.8638334274292,MPC,-0.0894981,-0.0576445,0.0750139
11.363360404968262,MPC,-0.113393,-0.073875,0.00122491
11.863349914550781,MPC,-0.134522,-0.0907552,-0.014449
12.363937139511108,MPC,-1.05596,-0.940761,-0.0793472
12.874295234680176,MPC,0.358204,-0.953394,0.705667
13.36372447013855,MPC,-0.823394,-1.14983,0.143366
13.97047758102417,MPC,0.590828,-1.14983,-0.109464
14.979583501815796,MPC,0.606535,-1.12793,0.672266
15.351492166519165,MPC,0.642173,-0.908657,0.583834
15.865604162216187,MPC,0.663494,-0.882519,0.785051
16.07016634941101,MPC,0.687181,-0.856005,0.784733
16.363283157348633,MPC,0.711879,-0.829786,0.7851
16.8635470867157,MPC,0.757435,-0.802082,0.781394
17.363234758377075,MPC,0.805172,-0.772987,0.757142
17.863491773605347,MPC,0.915347,-0.603161,-0.0274362
18.363824367523193,MPC,1.0391,-0.223316,-0.7851
18.863523960113525,MPC,1.1594,-0.0509977,-0.784892
19.36392307281494,MPC,1.24123,0.000734268,-0.784973
19.863414525985718,MPC,1.25905,0.0280003,-0.360666
20.36367678642273,MPC,1.2263,0.0470112,0.423665
20.863200664520264,MPC,1.22142,0.0669267,0.7851
21.363717317581177,MPC,1.1848,0.0796301,0.784583
21.863444566726685,MPC,1.15103,0.0937721,0.784757
22.36344575881958,MPC,1.09878,0.0961807,0.784604
22.86342215538025,MPC,1.04876,0.0984752,0.784235
23.363291263580322,MPC,0.988483,0.0885558,0.249469
23.863604307174683,MPC,0.934137,0.0786504,0.62161
24.363871574401855,MPC,0.875089,0.0670991,-0.128654
24.863481521606445,MPC,0.813204,0.0557967,0.462347
25.418116331100464,MPC,0.754762,0.0446638,-0.261315
25.86325740814209,MPC,0.682254,0.0292682,0.473159
26.36320662498474,MPC,0.63413,0.0189675,-0.157718
26.86388063430786,MPC,0.593515,0.0122982,0.0767021
27.363551139831543,MPC,0.558457,0.00794119,0.0597885
27.863621950149536,MPC,0.52802,0.00652941,0.0403469
28.36364483833313,MPC,0.503812,0.00548817,0.0351975
28.86365246772766,MPC,0.484504,0.00558041,0.0751449
29.363415241241455,MPC,0.470405,0.00663734,0.0512329
29.863633632659912,MPC,0.463981,0.00620066,0.0900846
30.363513708114624,MPC,0.461325,0.00683165,0.0764849
30.863505363464355,MPC,0.466759,0.00529449,0.11753
31.367164611816406,MPC,0.472124,0.00453962,0.139455
31.863616466522217,MPC,0.493087,0.00412431,0.124372
32.363683223724365,MPC,0.530077,0.00403303,0.114252
32.863553047180176,MPC,0.5584,-0.00885962,0.677461
33.36335110664368,MPC,0.625847,-0.00419993,0.659649
33.86366248130798,MPC,0.717887,0.00872716,0.351812
34.36381697654724,MPC,0.829454,0.0267424,0.210878
34.865891218185425,MPC,0.960562,0.057671,0.194312
35.36353898048401,MPC,1.10869,0.103091,0.0728061
35.86389708518982,MPC,1.2634,0.161151,0.0352036
