Time (s),Tag,x_velocity,y_velocity,yaw_velocity
0.0012385845184326172,MPC,-1.33347,-0.471048,0.346266
14.92089319229126,MPC,-0.50679,-0.444743,0.784644
15.420267105102539,MPC,-0.272175,-0.418495,0.78507
15.919838905334473,MPC,-0.166838,-0.39371,0.784546
16.420201301574707,MPC,-0.0563567,-0.37096,0.784393
16.919947624206543,MPC,-0.0202913,-0.351245,0.784521
17.419881582260132,MPC,0.0157673,-0.330245,0.472852
17.91995096206665,MPC,0.0513835,-0.305457,0.720822
18.419981002807617,MPC,0.0844416,-0.284481,-0.0162226
18.920083045959473,MPC,0.118642,-0.260136,0.185596
19.419906854629517,MPC,0.156792,-0.23872,-0.206382
19.922319412231445,MPC,0.188533,-0.22096,0.265827
20.419989824295044,MPC,0.2248,-0.205162,-0.0963436
20.919950246810913,MPC,0.254276,-0.184114,0.164294
21.419598817825317,MPC,0.288493,-0.160257,-0.26138
21.938985586166382,MPC,0.3192,-0.135555,0.197821
22.419815063476562,MPC,0.33506,-0.130767,-0.195834
22.919931411743164,MPC,0.361514,-0.105614,0.183243
23.419859886169434,MPC,0.395229,-0.0787163,-0.280484
23.919869899749756,MPC,0.425791,-0.0519236,0.185877
24.423660039901733,MPC,0.455227,-0.0252233,-0.259097
