tree_positions,0.0,-0.0,0.0,-4.0,0.0,-8.0,0.0,-12.0,0.0,-16.0,4.0,-0.0,4.0,-4.0,4.0,-8.0,4.0,-12.0,4.0,-16.0,8.0,-0.0,8.0,-4.0,8.0,-8.0,8.0,-12.0,8.0,-16.0,12.0,-0.0,12.0,-4.0,12.0,-8.0,12.0,-12.0,12.0,-16.0,16.0,-0.0,16.0,-4.0,16.0,-8.0,16.0,-12.0,16.0,-16.0
time,x,y,theta,entropy,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24
0.0013687610626220703,-1.3539999723434448,-7.299999713897705,0.0,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16.806570053100586,-1.3539999723434448,-7.299999713897705,0.0,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17.307483911514282,-1.3774484395980835,-7.313650608062744,-0.177450388704381,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17.80721163749695,-1.3774484395980835,-7.313650608062744,-0.177450388704381,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18.30725383758545,-1.431921124458313,-7.348690032958984,-0.20460179181675506,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18.807276248931885,-1.5016494989395142,-7.39425802230835,-0.24270829033784933,24.999711441752808,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19.307127475738525,-1.5016494989395142,-7.39425802230835,-0.24270829033784933,24.9988455359952,0.5,0.5,0.52,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19.807329654693604,-1.9664382934570312,-7.916815280914307,-0.14175217696213865,24.997401588567737,0.5,0.5,0.53,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20.307530403137207,-2.0000998973846436,-8.528280258178711,0.11516567792261968,24.804876498544058,0.5,0.5,0.754,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20.807126760482788,-2.0000998973846436,-8.528280258178711,0.11516567792261968,24.46899559358928,0.5,0.5,0.912,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21.307406663894653,-2.0000975131988525,-9.153350830078125,0.4432702423055646,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21.811161994934082,-2.0000975131988525,-9.153350830078125,0.4432702423055646,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22.307715892791748,-1.674523115158081,-9.767041206359863,0.8356704105888151,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22.8074734210968,-1.3231040239334106,-10.273633003234863,1.227322839959238,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
23.307360649108887,-0.9594377279281616,-10.555584907531738,1.4510624150996934,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
23.80753254890442,-0.5838987231254578,-10.645966529846191,1.458215921678912,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
24.307225227355957,-0.1957852840423584,-10.660099029541016,1.41247726058855,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
24.80767011642456,0.20810149610042572,-10.648680686950684,1.3765945482774828,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
25.30785298347473,0.6323224902153015,-10.623744010925293,1.3548923756660134,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
25.807136297225952,0.6323224902153015,-10.623744010925293,1.3548923756660134,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
26.30730175971985,1.1088060140609741,-10.579380989074707,1.2695609621462873,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
26.807263612747192,1.1088060140609741,-10.579380989074707,1.2695609621462873,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
27.307525634765625,1.6314177513122559,-10.514204025268555,1.3001569384035665,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
27.80752468109131,2.1735901832580566,-10.439001083374023,1.314935649864337,24.46899559358928,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
28.307780742645264,2.7273366451263428,-10.354418754577637,1.342765509255818,24.46876186437032,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.491,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
28.80738401412964,3.2789525985717773,-10.263983726501465,1.2755226337312224,24.46806052516689,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.482,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
29.307342052459717,3.8047008514404297,-10.174527168273926,1.3002983238376364,24.243504122250847,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.228,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
29.807260513305664,4.081134796142578,-10.191815376281738,1.375316074742937,24.232798259522387,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
30.307332754135132,4.081134796142578,-10.191815376281738,1.375316074742937,24.232798259522387,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
30.807505130767822,3.9561767578125,-10.373318672180176,1.3497577751491092,24.232798259522387,0.5,0.5,0.972,0.5,0.5,0.5,0.5,0.222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
