tree_positions,0.0,-0.0,0.0,-4.0,0.0,-8.0,0.0,-12.0,0.0,-16.0,4.0,-0.0,4.0,-4.0,4.0,-8.0,4.0,-12.0,4.0,-16.0,8.0,-0.0,8.0,-4.0,8.0,-8.0,8.0,-12.0,8.0,-16.0,12.0,-0.0,12.0,-4.0,12.0,-8.0,12.0,-12.0,12.0,-16.0,16.0,-0.0,16.0,-4.0,16.0,-8.0,16.0,-12.0,16.0,-16.0
time,x,y,theta,entropy,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24
0.0012385845184326172,-1.353553295135498,-8.340520858764648,0.0,24.699374843964094,0.5,0.5,0.811,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14.92089319229126,-1.353553295135498,-8.340520858764648,0.0,24.46899559358928,0.5,0.5,0.949,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15.420267105102539,-1.6869202852249146,-8.458282470703125,0.08656660779849454,24.46899559358928,0.5,0.5,0.988,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15.919838905334473,-1.8136178255081177,-8.569467544555664,0.2827275958415059,24.46899559358928,0.5,0.5,0.997,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16.420201301574707,-1.9233711957931519,-8.772518157958984,0.6751316388699997,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16.919947624206543,-1.9233711957931519,-8.772518157958984,0.6751316388699997,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17.419881582260132,-1.9791699647903442,-8.963685989379883,1.0673663182840758,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17.91995096206665,-1.942533254623413,-8.953069686889648,1.0673602257679822,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18.419981002807617,-1.980301022529602,-9.134057998657227,1.3817095251584905,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18.920083045959473,-1.9257454872131348,-9.111994743347168,1.365778680891292,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19.419906854629517,-1.9463447332382202,-9.28154182434082,1.5578593457042038,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19.922319412231445,-1.8749743700027466,-9.248147010803223,1.4081219485252892,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20.419989824295044,-1.8774865865707397,-9.406256675720215,1.5526626502920653,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20.919950246810913,-1.788643479347229,-9.363066673278809,1.422983039440184,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21.419598817825317,-1.7741535902023315,-9.512787818908691,1.5950334644414579,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21.938985586166382,-1.6688745021820068,-9.460384368896484,1.4399706096242848,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22.419815063476562,-1.6384615898132324,-9.598880767822266,1.5707618506736813,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22.919931411743164,-1.516951560974121,-9.534337043762207,1.4240806519891074,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
23.419859886169434,-1.474896788597107,-9.665461540222168,1.5712585934290433,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
23.919869899749756,-1.3428082466125488,-9.59343147277832,1.420932985311589,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
24.423660039901733,-1.2857110500335693,-9.711544036865234,1.5469482321743053,24.46899559358928,0.5,0.5,0.999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
