tree_positions,0.0,-0.0,0.0,-4.0,0.0,-8.0,0.0,-12.0,0.0,-16.0,4.0,-0.0,4.0,-4.0,4.0,-8.0,4.0,-12.0,4.0,-16.0,8.0,-0.0,8.0,-4.0,8.0,-8.0,8.0,-12.0,8.0,-16.0,12.0,-0.0,12.0,-4.0,12.0,-8.0,12.0,-12.0,12.0,-16.0,16.0,-0.0,16.0,-4.0,16.0,-8.0,16.0,-12.0,16.0,-16.0
time,x,y,theta,entropy,lambda_0,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24
0.0016069412231445312,-1.353553295135498,-15.372087478637695,0.0,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16.93858313560486,-1.353553295135498,-15.372087478637695,0.0,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17.439014434814453,-1.3608421087265015,-15.378450393676758,-0.13796307141700467,24.999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17.939078092575073,-1.3940542936325073,-15.405254364013672,-0.1759209885794801,24.90438145772449,0.5,0.5,0.5,0.5,0.32,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18.439753532409668,-1.3940542936325073,-15.405254364013672,-0.1759209885794801,24.669015835056555,0.5,0.5,0.5,0.5,0.175,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18.93887734413147,-1.5476018190383911,-15.5584716796875,-0.37654351083178283,24.46899559358928,0.5,0.5,0.5,0.5,0.042,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19.438817739486694,-1.8138647079467773,-16.022714614868164,-0.24456584374302914,24.46899559358928,0.5,0.5,0.5,0.5,0.009,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19.938962936401367,-1.951660394668579,-16.47406005859375,0.11581142629645483,24.46899559358928,0.5,0.5,0.5,0.5,0.009,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20.439182996749878,-1.9935954809188843,-16.912704467773438,0.5081435683619036,24.46899559358928,0.5,0.5,0.5,0.5,0.004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20.938696146011353,-1.9935954809188843,-16.912704467773438,0.5081435683619036,24.46899559358928,0.5,0.5,0.5,0.5,0.002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21.439093828201294,-1.9802751541137695,-17.329540252685547,0.9006162963989102,24.46899559358928,0.5,0.5,0.5,0.5,0.001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21.938807010650635,-1.9802751541137695,-17.329540252685547,0.9006162963989102,24.46899559358928,0.5,0.5,0.5,0.5,0.001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22.438779592514038,-1.9377846717834473,-17.643964767456055,1.290681828962332,24.46899559358928,0.5,0.5,0.5,0.5,0.001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22.93898868560791,-1.8821907043457031,-17.87443733215332,1.5803187682320559,24.46899559358928,0.5,0.5,0.5,0.5,0.001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
23.43926501274109,-1.8821907043457031,-17.87443733215332,1.5803187682320559,24.46899559358928,0.5,0.5,0.5,0.5,0.001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
